"FIPS_Code","Year","State","Avg.Unhealthy.Days","Avg.Max.AQI","Avg.Days.PM2.5","y2_state","Migrants.outflows"
1,2012,"Alabama",0.235294117647059,110.235294117647,85.3529411764706,"AL",107304
2,2012,"Alaska",3.125,96.25,153.25,"AK",38204
4,2012,"Arizona",1.23076923076923,170.461538461538,22.4615384615385,"AZ",175887
5,2012,"Arkansas",0.285714285714286,103.428571428571,81.1428571428571,"AR",67366
6,2012,"California",6.83333333333333,288.703703703704,110.759259259259,"CA",496085
8,2012,"Colorado",0.870967741935484,125.806451612903,15.4838709677419,"CO",149540
9,2012,"Connecticut",3.25,170.25,117.5,"CT",79787
10,2012,"Delaware",3.33333333333333,177.666666666667,100.666666666667,"DE",28145
12,2012,"Florida",0.184210526315789,112.631578947368,96.0789473684211,"FL",516554
13,2012,"Georgia",0.59375,125.21875,174.15625,"GA",280651
15,2012,"Hawaii",0.5,92.75,320.25,"HI",54628
16,2012,"Idaho",3.21428571428571,166.285714285714,234,"ID",50517
17,2012,"Illinois",1.82608695652174,154.739130434783,53.3478260869565,"IL",242073
18,2012,"Indiana",0.916666666666667,143.027777777778,115.25,"IN",122071
19,2012,"Iowa",0.0526315789473684,106.789473684211,159.842105263158,"IA",60807
20,2012,"Kansas",0.923076923076923,132.692307692308,37.3846153846154,"KS",87361
21,2012,"Kentucky",1.24137931034483,150.965517241379,78.3793103448276,"KY",92376
22,2012,"Louisiana",0.181818181818182,123.818181818182,123.909090909091,"LA",90424
23,2012,"Maine",0,95.9090909090909,45.6363636363636,"ME",24908
24,2012,"Maryland",2.8,180.533333333333,105.733333333333,"MD",152235
25,2012,"Massachusetts",0.666666666666667,146.666666666667,132.333333333333,"MA",121986
26,2012,"Michigan",1.96428571428571,163.178571428571,61.6071428571429,"MI",147331
27,2012,"Minnesota",0.0476190476190476,101.380952380952,149.809523809524,"MN",88549
28,2012,"Mississippi",0.181818181818182,118.272727272727,159.181818181818,"MS",70074
29,2012,"Missouri",2.19047619047619,149.571428571429,104,"MO",127792
30,2012,"Montana",2.42105263157895,116.368421052632,185.947368421053,"MT",28033
31,2012,"Nebraska",0.0909090909090909,95.9090909090909,91.3636363636364,"NE",42155
32,2012,"Nevada",0.6,178.4,20.9,"NV",101992
33,2012,"New Hampshire",0,115.428571428571,63.4285714285714,"NH",36951
34,2012,"New Jersey",1.375,146.75,107.1875,"NJ",196355
35,2012,"New Mexico",0.166666666666667,234.611111111111,70.6666666666667,"NM",65435
36,2012,"New York",0.393939393939394,125.333333333333,83.4242424242424,"NY",375701
37,2012,"North Carolina",0.444444444444444,129.622222222222,129.333333333333,"NC",234976
38,2012,"North Dakota",0,79.75,86.25,"ND",21866
39,2012,"Ohio",1.78947368421053,162.605263157895,127.447368421053,"OH",178085
40,2012,"Oklahoma",1.04545454545455,143.272727272727,73.5,"OK",83791
41,2012,"Oregon",0.583333333333333,128,291.625,"OR",91282
42,2012,"Pennsylvania",1.02702702702703,147.567567567568,132.540540540541,"PA",207634
44,2012,"Rhode Island",1,161.666666666667,124,"RI",27239
45,2012,"South Carolina",0.105263157894737,108.947368421053,93.3684210526316,"SC",116125
46,2012,"South Dakota",0.111111111111111,105.555555555556,97,"SD",23645
47,2012,"Tennessee",1.04347826086957,139.304347826087,43.5217391304348,"TN",150763
48,2012,"Texas",1.09302325581395,153.674418604651,132.488372093023,"TX",414139
49,2012,"Utah",0.333333333333333,128.8,60.3333333333333,"UT",74038
50,2012,"Vermont",0,93.5,144.5,"VT",16429
51,2012,"Virginia",0.421052631578947,107.578947368421,65.7105263157895,"VA",241280
53,2012,"Washington",1.27586206896552,123.586206896552,309.758620689655,"WA",177201
54,2012,"West Virginia",0.133333333333333,122.466666666667,90.9333333333333,"WV",37065
55,2012,"Wisconsin",2,139.709677419355,77.2903225806452,"WI",89792
56,2012,"Wyoming",0.526315789473684,121.157894736842,27.7368421052632,"WY",26936
1,2013,"Alabama",0,86.0555555555556,84.1666666666667,"AL",103386
2,2013,"Alaska",3.625,108,176.75,"AK",42818
4,2013,"Arizona",1.84615384615385,240.846153846154,31.0769230769231,"AZ",185497
5,2013,"Arkansas",0,93.1818181818182,88.8181818181818,"AR",68672
6,2013,"California",5,219.203703703704,128.425925925926,"CA",532619
8,2013,"Colorado",0.6,164.833333333333,17.4333333333333,"CO",158807
9,2013,"Connecticut",1.875,156.75,133.875,"CT",85030
10,2013,"Delaware",0,123,130.666666666667,"DE",27938
12,2013,"Florida",0,99.5526315789474,114.842105263158,"FL",512104
13,2013,"Georgia",0.03125,97.625,181.96875,"GA",276109
15,2013,"Hawaii",0,73,309,"HI",58912
16,2013,"Idaho",1.53846153846154,122.384615384615,174.615384615385,"ID",49380
17,2013,"Illinois",0.0434782608695652,103.304347826087,57.7826086956522,"IL",259153
18,2013,"Indiana",0.0555555555555556,101.638888888889,121.694444444444,"IN",122929
19,2013,"Iowa",0,101.210526315789,165.684210526316,"IA",61697
20,2013,"Kansas",0,88.2307692307692,45.3846153846154,"KS",92924
21,2013,"Kentucky",0,93.3103448275862,92.3103448275862,"KY",96973
22,2013,"Louisiana",0.136363636363636,114.363636363636,127.090909090909,"LA",95050
23,2013,"Maine",0,117.454545454545,50.6363636363636,"ME",26033
24,2013,"Maryland",0,116.866666666667,112.2,"MD",163323
25,2013,"Massachusetts",0.0833333333333333,120.083333333333,130.583333333333,"MA",127521
26,2013,"Michigan",0.0357142857142857,111.928571428571,65.0357142857143,"MI",146919
27,2013,"Minnesota",0,88.05,151.15,"MN",92974
28,2013,"Mississippi",0,98.8,106,"MS",70899
29,2013,"Missouri",0.0476190476190476,109.095238095238,111.142857142857,"MO",130297
30,2013,"Montana",0.368421052631579,91.2105263157895,172.052631578947,"MT",28754
31,2013,"Nebraska",0,82.9090909090909,96.0909090909091,"NE",44275
32,2013,"Nevada",2.6,209.7,59.1,"NV",104841
33,2013,"New Hampshire",0,103.285714285714,77.4285714285714,"NH",38264
34,2013,"New Jersey",0.1875,122.9375,100.4375,"NJ",197820
35,2013,"New Mexico",0.722222222222222,139.5,64.3888888888889,"NM",68030
36,2013,"New York",0.103448275862069,106.551724137931,97.9655172413793,"NY",386395
37,2013,"North Carolina",0.0217391304347826,91.9130434782609,135.586956521739,"NC",248951
38,2013,"North Dakota",0,82.4444444444444,69.3333333333333,"ND",26085
39,2013,"Ohio",0.0526315789473684,110.921052631579,139.131578947368,"OH",181113
40,2013,"Oklahoma",0,110.347826086957,73.7826086956522,"OK",86878
41,2013,"Oregon",1.91666666666667,135.458333333333,294.5,"OR",94092
42,2013,"Pennsylvania",0.105263157894737,124.5,132.842105263158,"PA",214605
44,2013,"Rhode Island",0.333333333333333,154,152.333333333333,"RI",27687
45,2013,"South Carolina",0,84.0526315789474,109.526315789474,"SC",118681
46,2013,"South Dakota",0,90.1111111111111,116,"SD",26334
47,2013,"Tennessee",0,86.88,94.16,"TN",159925
48,2013,"Texas",0.441860465116279,126.255813953488,132.767441860465,"TX",442376
49,2013,"Utah",6.13333333333333,141.933333333333,70.3333333333333,"UT",76478
50,2013,"Vermont",0,103.75,162,"VT",16540
51,2013,"Virginia",0,83.6666666666667,67.75,"VA",257928
53,2013,"Washington",0.275862068965517,112,299.379310344828,"WA",183119
54,2013,"West Virginia",0,98.4666666666667,97.2,"WV",39464
55,2013,"Wisconsin",0,95.09375,85.71875,"WI",95636
56,2013,"Wyoming",0.0555555555555556,107.888888888889,20.4444444444444,"WY",30635
1,2014,"Alabama",0,93.3333333333333,83.6666666666667,"AL",98079
2,2014,"Alaska",6.25,133,164,"AK",39165
4,2014,"Arizona",1.84615384615385,203.692307692308,34.3846153846154,"AZ",168291
5,2014,"Arkansas",0,87.9090909090909,89.4545454545455,"AR",65291
6,2014,"California",5.38888888888889,210.62962962963,117.777777777778,"CA",512732
8,2014,"Colorado",0.233333333333333,104.566666666667,19.5333333333333,"CO",150099
9,2014,"Connecticut",0.375,132.25,107.75,"CT",81456
10,2014,"Delaware",0.333333333333333,121.666666666667,144,"DE",27294
12,2014,"Florida",0.0512820512820513,100.871794871795,100.25641025641,"FL",434785
13,2014,"Georgia",0.03125,103.46875,183.34375,"GA",250183
15,2014,"Hawaii",0.25,126.25,274.25,"HI",57999
16,2014,"Idaho",0.4,115.4,188.8,"ID",47207
17,2014,"Illinois",0,104.521739130435,65.6086956521739,"IL",252389
18,2014,"Indiana",0.0769230769230769,110.820512820513,134.358974358974,"IN",117624
19,2014,"Iowa",0,100.263157894737,168.105263157895,"IA",58970
20,2014,"Kansas",0.0833333333333333,100.833333333333,46.6666666666667,"KS",86832
21,2014,"Kentucky",0.0344827586206897,95.8965517241379,88.3793103448276,"KY",91819
22,2014,"Louisiana",0.0909090909090909,113.545454545455,130.909090909091,"LA",88835
23,2014,"Maine",0,93.2727272727273,62.0909090909091,"ME",24140
24,2014,"Maryland",0,107.25,118.1875,"MD",155632
25,2014,"Massachusetts",0,95.2307692307692,123.461538461538,"MA",123903
26,2014,"Michigan",0.0357142857142857,111.214285714286,114.035714285714,"MI",140941
27,2014,"Minnesota",0,92.8571428571429,169,"MN",90312
28,2014,"Mississippi",0.1,102.9,112.6,"MS",67275
29,2014,"Missouri",0,106.904761904762,111.904761904762,"MO",124600
30,2014,"Montana",0.157894736842105,111.947368421053,171.315789473684,"MT",27893
31,2014,"Nebraska",0,82.0909090909091,94.4545454545455,"NE",42079
32,2014,"Nevada",0.666666666666667,213.888888888889,81.5555555555556,"NV",93798
33,2014,"New Hampshire",0,106.428571428571,84.7142857142857,"NH",35446
34,2014,"New Jersey",0.125,124.25,89.0625,"NJ",193002
35,2014,"New Mexico",0.294117647058824,111.117647058824,65.1176470588235,"NM",64573
36,2014,"New York",0.0689655172413793,103.689655172414,101.413793103448,"NY",371676
37,2014,"North Carolina",0,91.195652173913,129.347826086957,"NC",237070
38,2014,"North Dakota",0,117,56.1111111111111,"ND",27940
39,2014,"Ohio",0.0263157894736842,109.815789473684,132.342105263158,"OH",170745
40,2014,"Oklahoma",0.0454545454545455,106.136363636364,78.5454545454545,"OK",82573
41,2014,"Oregon",0.608695652173913,127.217391304348,289.304347826087,"OR",85360
42,2014,"Pennsylvania",0.105263157894737,111.210526315789,141.263157894737,"PA",204494
44,2014,"Rhode Island",0,106.333333333333,129.333333333333,"RI",26553
45,2014,"South Carolina",0.0526315789473684,89.1578947368421,106.368421052632,"SC",111343
46,2014,"South Dakota",0,90.8888888888889,76.5555555555556,"SD",24221
47,2014,"Tennessee",0,91.5,90.625,"TN",147352
48,2014,"Texas",0.162790697674419,109.906976744186,132.674418604651,"TX",411911
49,2014,"Utah",0.466666666666667,117,52.8666666666667,"UT",72689
50,2014,"Vermont",0,84.5,158.5,"VT",15952
51,2014,"Virginia",0.0285714285714286,78.6857142857143,70.9714285714286,"VA",257689
53,2014,"Washington",0.275862068965517,104.827586206897,288.137931034483,"WA",167489
54,2014,"West Virginia",0,88.4666666666667,85.7333333333333,"WV",36953
55,2014,"Wisconsin",0,113.461538461538,100.692307692308,"WI",91205
56,2014,"Wyoming",0.105263157894737,88.9473684210526,28.4210526315789,"WY",27037
1,2015,"Alabama",0.166666666666667,105.722222222222,145.722222222222,"AL",69378
2,2015,"Alaska",5.125,99.125,158,"AK",25022
4,2015,"Arizona",0.230769230769231,173.692307692308,45.1538461538462,"AZ",120204
5,2015,"Arkansas",0,83.9090909090909,87.9090909090909,"AR",46025
6,2015,"California",4.57407407407407,242.462962962963,111.018518518519,"CA",388394
8,2015,"Colorado",0.161290322580645,109.483870967742,19.6129032258065,"CO",102784
9,2015,"Connecticut",1.25,149.5,105.375,"CT",60493
10,2015,"Delaware",0.333333333333333,129,107.333333333333,"DE",19811
12,2015,"Florida",0,84.5128205128205,107.615384615385,"FL",309354
13,2015,"Georgia",0.125,106.5625,172.90625,"GA",179426
15,2015,"Hawaii",0,72,287.25,"HI",40289
16,2015,"Idaho",2.35,161.5,230.75,"ID",33194
17,2015,"Illinois",0.0869565217391304,103.95652173913,82.8260869565217,"IL",177453
18,2015,"Indiana",0.153846153846154,107.461538461538,133.717948717949,"IN",83576
19,2015,"Iowa",0.105263157894737,104.842105263158,166,"IA",40708
20,2015,"Kansas",0,97,46.8181818181818,"KS",57342
21,2015,"Kentucky",0.142857142857143,101.75,98.6785714285714,"KY",64231
22,2015,"Louisiana",0.136363636363636,108.090909090909,119.636363636364,"LA",64912
23,2015,"Maine",0,98.8333333333333,88.1666666666667,"ME",17712
24,2015,"Maryland",0.1875,124.9375,112.875,"MD",120783
25,2015,"Massachusetts",0.0769230769230769,119,116.384615384615,"MA",89799
26,2015,"Michigan",0.107142857142857,116.357142857143,111,"MI",97747
27,2015,"Minnesota",0.0476190476190476,110.380952380952,161.47619047619,"MN",62453
28,2015,"Mississippi",0,87,121.454545454545,"MS",51320
29,2015,"Missouri",0.0952380952380952,102.761904761905,106,"MO",86755
30,2015,"Montana",4.05263157894737,172.210526315789,177.368421052632,"MT",19103
31,2015,"Nebraska",0,84.3636363636364,105.272727272727,"NE",28652
32,2015,"Nevada",0.444444444444444,133.222222222222,70.3333333333333,"NV",66713
33,2015,"New Hampshire",0.142857142857143,119.142857142857,72.8571428571429,"NH",25366
34,2015,"New Jersey",0.25,132.8125,82.375,"NJ",149229
35,2015,"New Mexico",0.125,88.3125,67.8125,"NM",47287
36,2015,"New York",0,111.724137931034,100.137931034483,"NY",288250
37,2015,"North Carolina",0,88.2045454545455,115.818181818182,"NC",162379
38,2015,"North Dakota",1.5,150,67.7,"ND",21171
39,2015,"Ohio",0.0256410256410256,108.769230769231,123.564102564103,"OH",119437
40,2015,"Oklahoma",0.0434782608695652,96.9565217391304,74.3478260869565,"OK",59772
41,2015,"Oregon",2.30434782608696,165.478260869565,285.739130434783,"OR",62183
42,2015,"Pennsylvania",0.162162162162162,118.162162162162,131.972972972973,"PA",146026
44,2015,"Rhode Island",1,161,144.333333333333,"RI",19457
45,2015,"South Carolina",0,84.3684210526316,83.2631578947368,"SC",78749
46,2015,"South Dakota",0.1,120.4,144.7,"SD",16531
47,2015,"Tennessee",0,89.375,81.9583333333333,"TN",104401
48,2015,"Texas",0.731707317073171,122.365853658537,125.024390243902,"TX",381936
49,2015,"Utah",0.285714285714286,126.642857142857,61.8571428571429,"UT",48493
50,2015,"Vermont",0,95,146.5,"VT",11479
51,2015,"Virginia",0,79.9142857142857,73.8857142857143,"VA",166333
53,2015,"Washington",1.03448275862069,152.655172413793,290.206896551724,"WA",114931
54,2015,"West Virginia",0.0666666666666667,99.6666666666667,83.2,"WV",26816
55,2015,"Wisconsin",0.0740740740740741,109.074074074074,88.7777777777778,"WI",62453
56,2015,"Wyoming",0.210526315789474,110.263157894737,29.3684210526316,"WY",18079
1,2016,"Alabama",0.277777777777778,111.444444444444,116.777777777778,"AL",89926
2,2016,"Alaska",3.28571428571429,88.4285714285714,150.571428571429,"AK",35476
4,2016,"Arizona",0.538461538461538,228.153846153846,36.8461538461538,"AZ",158093
5,2016,"Arkansas",0.0909090909090909,83.5454545454545,84.6363636363636,"AR",60253
6,2016,"California",4.59259259259259,270.203703703704,110.814814814815,"CA",546608
8,2016,"Colorado",0.1875,103.65625,24.78125,"CO",160182
9,2016,"Connecticut",2,164.625,84.5,"CT",84560
10,2016,"Delaware",0.333333333333333,139.666666666667,89.3333333333333,"DE",26900
12,2016,"Florida",0.0769230769230769,95.5897435897436,98.5897435897436,"FL",392747
13,2016,"Georgia",0.46875,129.28125,154.46875,"GA",228611
15,2016,"Hawaii",0,90.25,272.75,"HI",61022
16,2016,"Idaho",0.3,107.1,280.9,"ID",44831
17,2016,"Illinois",0.0869565217391304,115.347826086957,80.8695652173913,"IL",256855
18,2016,"Indiana",0.027027027027027,113.351351351351,125.648648648649,"IN",116111
19,2016,"Iowa",0.105263157894737,97.9473684210526,166.157894736842,"IA",60856
20,2016,"Kansas",0.0909090909090909,104.727272727273,43.9090909090909,"KS",89248
21,2016,"Kentucky",0.142857142857143,111.714285714286,104.285714285714,"KY",86762
22,2016,"Louisiana",0,97,104.181818181818,"LA",86086
